date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2023-05-08,wagholi,0,0.0,1.0,43.8125,31.560119047619047,1.4982142857142848,64,56.42857142857143,1.4285714285714286,36.9,22.3,0.3,1,8,1,0,0,0.8073707443023492,-0.5900444739548627,0,2023
2023-05-09,wagholi,0,0.0,1.0,45.40416666666667,34.43928571428571,2.879166666666667,60,58.0,1.5714285714285714,37.6,13.0,0.0,2,8,1,0,0,0.7971015927871943,-0.6038452208771035,0,2023
2023-05-10,wagholi,0,0.0,1.0,35.9125,37.642857142857146,3.2035714285714287,49,58.857142857142854,0.8571428571428571,40.4,15.5,0.0,3,8,1,0,0,0.7865965660866021,-0.6174672802835514,0,2023
2023-05-11,wagholi,0,0.0,1.0,35.512499999999996,39.052976190476194,1.4101190476190477,42,57.714285714285715,-1.1428571428571428,41.2,20.5,0.0,4,8,1,0,0,0.7758587728069828,-0.6309066211876704,0,2023
2023-05-12,wagholi,0,0.0,1.0,34.24583333333333,39.782738095238095,0.7297619047619044,44,55.714285714285715,-2.0,41.6,23.8,0.0,5,8,1,0,0,0.7648913904341225,-0.6441592666722685,0,2023
2023-05-13,wagholi,0,0.0,1.0,24.287499999999998,39.06488095238095,-0.7178571428571436,48,54.142857142857146,-1.5714285714285714,38.7,24.4,0.0,6,8,1,0,0,0.753697664392914,-0.6572212950663319,0,2023
2023-05-14,wagholi,0,0.0,1.0,18.525000000000002,36.910714285714285,-2.1541666666666672,47,52.714285714285715,-1.4285714285714286,37.8,24.1,0.0,7,8,1,0,0,0.742280907086982,-0.6700888411055113,0,2023
2023-05-15,wagholi,0,0.0,1.0,23.479166666666668,33.957142857142856,-2.953571428571428,57,50.57142857142857,-2.142857142857143,37.3,20.7,0.0,8,8,1,0,0,0.7306444969184916,-0.6827580970759147,0,2023
2023-05-16,wagholi,0,0.0,1.0,23.754166666666666,31.052380952380954,-2.9047619047619047,59,49.57142857142857,-1.0,37.1,21.3,0.0,9,8,1,0,0,0.7187918772884232,-0.6952253139408722,0,2023
2023-05-17,wagholi,0,0.0,1.0,20.654166666666665,27.95952380952381,-3.092857142857143,55,49.42857142857143,-0.14285714285714285,38.8,21.8,0.0,10,8,1,0,0,0.7067265555776158,-0.7074868024503348,0,2023
